IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
JSB121-2	-0.007513726509728937	0.022967145892952803	0.002500901136463349	-0.014277981650438759	-0.010250735308446479	0.005627325304177215	0.007516483642438019	-0.0024670063100504297	7.138694465913213e-4	4.491080060778807e-4
JSB121-3	-0.006820337697698663	0.02217445481790097	-1.7622884880251574e-5	-0.013734765261884357	-0.021744977518751155	0.0014591516055864724	0.017854898156105033	-0.0019967671073949527	-0.00903490439121046	2.906750774099016e-4
JSB121-4	-0.008979238003597153	0.024117336273839177	0.0031913167083798934	-0.016926138180093756	0.008370373004847838	1.7854210651790464e-5	-0.008737844221432261	5.217443685080465e-4	-0.0017846287735548189	0.0014053495084166178
JSB121-5	-0.009272524913752649	0.022233531483211565	0.005115901072575672	-0.01598333195069853	0.019858927943197487	-0.007850683543223012	-0.016656359684204976	-0.0038453981173674342	8.029155345186596e-4	-0.0010099800661708077
JSB68-1	-0.007816114184099242	0.023708548544744634	0.0037706236425046704	-0.016906848409500262	-0.001333450054628484	-2.2864951011107118e-4	-0.002458505818979538	-0.002906337610634665	-0.002496842021505445	0.001841532805476505
JSB68-2	-0.00925792907637486	0.023865643085618792	0.005071130701848671	-0.01654595025967546	0.010917364174157616	0.002364892531731603	-0.009016593210770996	-3.4876760276905075e-4	-0.0020428283479222513	-0.002937449219690051
JSB68-3	-0.009046159629519036	0.022782317612093605	0.0029066802143128284	-0.016103893016907872	0.014828119198693542	-0.005565030017584136	-0.013559883398826368	0.0023202995458720963	-0.0013567077023831544	4.446715077327402e-4
JSB68-4	-0.0074052240545974006	0.022455591360215063	5.977533771955797e-4	-0.01307610931597974	-0.019788501016733427	0.0026074906877464415	0.01392072962854407	1.5205475744460017e-4	-0.005650985636390598	6.350103139774763e-4
JSB81-1	-0.00861910158134081	0.023828981360844048	0.004214191670367343	-0.019126330909318815	0.007918367679017735	-1.3434349782089045e-4	-0.0035706584591840844	-4.305231774005586e-4	-0.002758700778429215	0.0027764783920231116
JSB81-11	-0.008996891466986892	0.023602932384253664	0.0031645037202223513	-0.016408791018769388	0.00885747273668708	6.881104442119766e-4	-0.006106349475624967	0.004208757497359242	-0.006063217663399144	0.001057046995324528
